review_check,status,review_notes,change_made,what_to_record
Layer 1 - Package consistency,FIXED_AND_VERIFIED,tests/verifier.json grid_size=55 with unique evidence keys aligned to Harbor CTRF pytest nodes; gold flagged_count=94 compliant_count=32; evaluations/difficulty/glm-5.2 only (no duplicate evaluations/glm-5.2 tree).,Removed evaluations/glm-5.2 duplicate of evaluations/difficulty/glm-5.2; rebuilt tests/verifier.json with 55 unique assertions; solution/golden_result.json synced.,grid_size=55; flagged_count=94
Layer 1 - Clarity and scope,FIXED_AND_VERIFIED,"Instruction discloses amendment, ops bulletin, and change-control multi-hop holds; memo ALL-evidence tokens disclosed.",environment/input/ops_bulletin.md; environment/input/change_control_tickets.csv; environment/input/table_aliases.csv.,Rules disclosed
Layer 1 - Realism and leakage,PASS,Realistic DB maintenance audit. Gold only under solution/.,,No leakage
Layer 2 Difficulty,FIXED_AND_VERIFIED,"GLM-5.2 terminus-2 x4 rewards=[0.9636363636, 0.9818181818, 0.9818181818, 0.9818181818] (0/4 at 1.0).",evaluations/difficulty/glm-5.2/trial-01; evaluations/difficulty/glm-5.2/trial-02; evaluations/difficulty/glm-5.2/trial-03; evaluations/difficulty/glm-5.2/trial-04.,GLM 0/4
Layer 2 Solvability,FIXED_AND_VERIFIED,Oracle 1.0 x4 on current grid. Non-oracle perfect not required when difficulty is intentionally hard (0/4 at 1.0).,evaluations/oracle/result.json; solution/golden_results.json; solution/golden_result.json.,Oracle 1.0
Layer 2 Stability,FIXED_AND_VERIFIED,Oracle stability repeats are result.json-only summaries.,evaluations/stability/repeat-01/result.json; evaluations/stability/repeat-02/result.json; evaluations/stability/repeat-03/result.json.,stability result.json-only
Layer 3 Oracle Mode,FIXED_AND_VERIFIED,Harbor oracle reward 1.0 via tests/test.sh fractional CTRF against grid_size=55.,evaluations/oracle/result.json; evaluations/oracle/verifier/reward.txt.,Oracle 1.0
Layer 4 - Environment and files,FIXED_AND_VERIFIED,LF texts; COPY input/ only; /tests lock marker; USER root retained for PreQC PF9.,environment/Dockerfile; environment/input/*.,No packaging failures
"Layer 4 - Connectors, MCPs, and CLIs",N/A,Non-connector Harbor task.,,N/A: NonConnector task
Layer 4 - Deliverables and artifact quality,PASS,"Gold bloat_audit.csv, bloat_memo.md, results.json match instruction schemas and counts.",,Deliverables complete
Layer 5 - Verifier coverage and fairness,FIXED_AND_VERIFIED,Pytest CTRF grades deliverables; shipped verifier.json has 55 unique evidence keys (no duplicate fact weighting).,tests/verifier.json rebuilt with unique assertions per CTRF node.,grid_size=55; unique evidence keys
Layer 5 - LLM judge consistency,N/A,No LLM-judge assertions; grading is deterministic pytest + verifier.json.,,N/A: no LLM judge path
Layer 5 - Reward hacking and exploitability,FIXED_AND_VERIFIED,No tests/solution COPY into image; /tests lock marker; memo anti-bag + polarity; gold not agent-visible.,environment/Dockerfile lock marker retained; solution/ isolated.,Exploit paths blocked
Cross-trial - Calibration,FIXED_AND_VERIFIED,Oracle+stability 1.0; GLM difficulty 0/4 at 1.0 on current package; duplicate difficulty tree removed so each attempt counts once.,Dropped evaluations/glm-5.2 copy; kept evaluations/difficulty/glm-5.2 only.,Fresh Harbor evidence; independent difficulty rolls
