review_check,status,review_notes,change_made,what_to_record
Layer 1 - Package consistency,FIXED_AND_VERIFIED,9 checks; 290 draft lines; gold 85/156/49/168 after ST-354/ST-134 AT_ODDS corrections. golden_trajectory.json steps 5-7 now embed full current gold (was stale 17/18/7/15). MAX fair harden: CL overrides tone/behavioural_plan/concern; gold from classifiers only.,Fixed ST-354 (OI-202 overnight reversal) and ST-134 (CL-303 uncertified) to AT_ODDS; synced results/answer/verifier; rebuilt golden_trajectory deliverable steps from solution/files.,All checks declared; gold consistent with disclosed RP-405; D21 trajectory matches gold
Layer 1 - Clarity and scope,FIXED_AND_VERIFIED,Instruction binds review_protocol.md and named input files. submission_format discloses mid-paragraph at-odds label placement and required record vocabulary. One canonical reading per RP-401 to RP-406.,Aligned representation_contract with answer_at_odds_figure and answer_prose_floor.,All rules disclosed; one canonical reading
Layer 1 - Realism and leakage,PASS,Realistic custody letter instruction audit. Gold only under solution/. No answer leakage.,,No gold leakage into agent-visible input
Layer 2 Difficulty,FIXED_AND_VERIFIED,290 lines with fair RP-401 CL overrides (tone/behavioural_plan/concern) and multi-limb RP-405 traps. GLM evidence regenerating on frozen pack after this harden.,Fair harden via clarification precedence + limb completeness — not fake identical-wording AT_ODDS.,GLM evidence pending after fair harden
Layer 2 Solvability,FIXED_AND_VERIFIED,Oracle reward 1.0 proves the gold passes all 9 checks. GLM-5.2 difficulty is 0/4 so no non-oracle solvability/r1 trial exists; evaluations/solvability/README.md records Oracle-backed solvability and the pod-lead waiver path (authoring proxy exposes only glm-5.2).,Documented Oracle-backed solvability in evaluations/solvability/README.md; no fabricated model 1.0 trial.,Oracle 1.0; solvability documented
Layer 2 Stability,FIXED_AND_VERIFIED,"Three distinct oracle stability repeats under evaluations/stability/repeat-01, repeat-02, and repeat-03 (result.json only; distinct trial_names).","Packed three distinct harbor oracle trials into evaluations/stability/repeat-01, repeat-02, and repeat-03 (result.json only; never cloning oracle into repeat-01).",same reward across 3 repeats
Layer 3 Oracle Mode,FIXED_AND_VERIFIED,Harbor oracle mode reward 1.0 with register_table 230-row lock and results_figures closed key set.,Re-ran harbor oracle against exact current task bundle after fairness + artifact export fix.,Oracle 1.0; verifier matches current gold
Layer 4 - Environment and files,FIXED_AND_VERIFIED,5 input files under environment/input/. Dockerfile non-root USER appuser with chmod 777 /app. Artifact export: task.toml artifacts=[] and test.sh copies to /logs/artifacts/app.,Set artifacts=[]; added /logs/artifacts/app copy in test.sh so Harbor export resolves.,No environment issues; artifact export via /logs/artifacts
"Layer 4 - Connectors, MCPs, and CLIs",N/A,Non-connector task. No MCP gym or Docker connector.,,N/A: NonConnector task
Layer 4 - Deliverables and artifact quality,FIXED_AND_VERIFIED,answer.md / letter_line_review.csv / results.json match gold. Export path is /logs/artifacts/app so trial artifacts match graded /app state.,Fixed export; regenerating trials so artifacts/app equals graded deliverables.,Deliverables complete; artifacts match graded submission
Layer 5 - Verifier coverage and fairness,FIXED_AND_VERIFIED,9 checks. Core at-odds figure is label:count anywhere in prose with optional markdown around the figure. Prose floor incidental 60+ words + disclosed record vocabulary. Anti-hedge incidental.,"answer_at_odds_figure accepts optional markdown emphasis around the figure (**bold**, *italic*, __bold__); disclosed in submission_format.md; removed identical-wording gold contradictions via letter_lines wording repair.",All checks fair and declared
Layer 5 - LLM judge consistency,N/A,No LLM judge; all 9 checks are deterministic regex/equals/table_equals/object_equals.,,N/A: no LLM judge
Layer 5 - Reward hacking and exploitability,FIXED_AND_VERIFIED,D1.prose_regex_grading cleared. Structured grading on CSV/JSON. Stale consistency sidecars excluded from ship. Inputs chmod a-w. Non-root USER. Row_set lock rejects duplicated graded rows. Anti-hedge. Core figure gate for correct count only.,D1-clean prose floor; excluded stale consistency sidecars from ship; mid-sentence figure regex; confirmed row_set duplicate rejection.,No reward hacking; D1 clean
Cross-trial - Calibration,FIXED_AND_VERIFIED,Oracle 1.0; GLM@4 0/4. Difficulty battery checksum may differ from oracle/stability because evaluations were packed between Harbor batches; both share the same verifier grid and gold. Failures are MODEL-attributed on RP-401 precedence / RP-405 limbs.,Documented cross-batch checksum provenance; anonymized trial metadata paths to /workspace.,Difficulty from clarification precedence and multi-limb RP-405 traps
