item,amount_gbp,description
Disposal of the Fairhurst Road property,320000,The property was sold during the year. The surplus attributable to it remains in revaluation reserve A and has not been transferred out in the books
Disposal of the Maple Court property,300000,The property was sold during the year. The surplus attributable to it remains in revaluation reserve B and has not been transferred out in the books
Partial disposal of Oak Plaza (50%),50000,Half of the Oak Plaza property was sold in December. The surplus attributable to the disposed portion is 50000 and remains in revaluation reserve B
Fair value gain on the Brookvale investment property,180000,Credited to profit or loss and included in retained earnings. The property is still held; a sale would require marketing and negotiation and its value rests on the valuer's opinion
Fair value gain on listed equity investments,95000,"Credited to profit or loss and included in retained earnings. The shares are quoted on a recognised exchange, the holding is small relative to the daily volume traded, and it could be sold at the quoted price on any dealing day"
Fair value gain on the Helmsley private equity stake,85000,"Credited to profit or loss and included in retained earnings. The holding is an unquoted private-company interest; any sale would require negotiation and there is no reliable quoted price"
Fair value gain on UK government bonds,60000,"Credited to profit or loss and included in retained earnings. The bonds are UK gilts with a deep market; they can be sold at the screen price without negotiation and without affecting the price"
Development costs capitalised in the year (software project A),260000,"Carried forward as an intangible asset. The finance director emailed the board arguing special circumstances and future economic benefits, but nothing has been stated in the notes to the accounts"
Development costs capitalised in the year (software project B),120000,"Carried forward as an intangible asset. The directors have justified special circumstances in Note 17 of the notes to the accounts, stating that the development will generate future economic benefits and the conditions for recognition are met"
Provision for the Denby litigation,140000,"Charged to profit or loss and included in retained earnings, measured in accordance with accounting standards. The claim is expected to be settled next year; nothing has been paid yet"
Provision for the Elmwood restructuring,80000,"Charged to profit or loss and included in retained earnings. The provision was estimated by the finance team using internal estimates that do not follow IAS 37 or any other accounting standard"
