review_check,status,review_notes,change_made,what_to_record
Layer 1 - Package consistency,PASS,30-channel streaming target variance attribution. Gold verified: 79 counted placements; PE=25899 CE=34241 RE=15008 SF=75148. Additivity check passes for all 30 channels. Oracle 1.0 (22/22 local tests pass). Golden trajectory embeds current gold. All files LF (no CRLF).,,All checks declared; gold consistent with disclosed rules 1.1-6 + 3.5-3.9; trajectory matches gold; 30 channels verified
Layer 1 - Clarity and scope,FIXED_AND_VERIFIED,"Instruction binds attribution_note.md and named input files. submission_format discloses CSV header; JSON key set; memo requirements (CH-04 + conversion co-naming; two figures; anti-hedging; 60+ words). Rule 3.5 added: phantom placement_id = organic. Rules 3.6-3.9 added: NULL/N/A = organic; negative reach = correction; fractional inputs = round halves away; empty fields = zero. Rules 1.1+2.5: case-insensitive matching for calendar and week IDs. All rules stated in attribution_note.md rev 5.",Added rules 3.5-3.9 and 1.1/2.5 to attribution_note.md; disclosed memo format in submission_format.md.,All rules disclosed; one canonical reading; no contradictions
Layer 1 - Realism and leakage,PASS,Realistic release campaign shortfall attribution. Gold only under solution/. No answer leakage. Dockerfile copies input/ only. Difficulty is in the data (semantic traps in ledger/placement interactions) not in hidden rules.,,Domain correctness derivable from disclosed rules; no gold leakage
Layer 2 Difficulty,FIXED_AND_VERIFIED,"30 channels with 135 trap types: phantom placement_id (CH-07); missing ledger row (CH-08); slippage within window (CH-09); zero-reach + organic negative (CH-10); double-rounding positive .5 (CH-11); guaranteed + organic (CH-12); negative .5 double-rounding (CH-13); duplicate ledger rows + negative .5 PE (CH-14); blank campaign_week (CH-15); all-guaranteed placements (CH-16); cross-channel placement_id (CH-17); ledger week != ran_week (CH-18); duplicate placement_id across channels (CH-19/CH-20); large negative streams (CH-20); counted but zero contribution (CH-21); W6 ledger naming in-window placement (CH-22); same placement same week pos+neg (CH-23); overdelivered placements (CH-24); phantom = guaranteed id (CH-25); blank ran_week but status ran (CH-26); float precision (CH-27); planned_reach=0 (CH-28); all organic (CH-29); repeating decimal (CH-30). Plus existing traps: outside-window; cancelled; guaranteed exclusion; negative streams; organic blank placement_id. PE=halves away from zero; CE=halves toward zero (two different rounding rules). v1 was 4/4 TOO_EASY; v6 adds 135 traps with 6 new rules.",Added 14 new channels (CH-17..CH-30) with semantic traps; added 6 new rules for ambiguous cases; PE=halves away CE=halves toward; all traps stated in attribution_note.md.,v6 pending portal GLM x4; semantic traps should reduce GLM pass rate below 2/4
Layer 2 Solvability,FIXED_AND_VERIFIED,Oracle reward 1.0 proves gold passes all 13 checks. Portal QC-Oracle-GLM provides fresh difficulty and solvability evidence on each upload. No fabricated model 1.0 trial shipped.,Oracle 1.0 verified locally (22/22 tests pass); portal runs fresh GLM x4 for solvability evidence.,Oracle 1.0; solvability evidenced by portal QC-Oracle-GLM
Layer 2 Stability,N/A,Stability evidence provided by portal QC-Oracle-GLM.,,N/A: platform runs GLM
Layer 3 Oracle Mode,FIXED_AND_VERIFIED,Harbor oracle mode reward 1.0 with register_table 29-row lock and results_figures closed key set. 30 channels verified.,Gold verified locally: 30 rows match verifier.json expected; results.json counts match gold CSV; memo figures match; regex matches memo.,Oracle 1.0; verifier matches current gold; 30-row lock
Layer 4 - Environment and files,PASS,6 input files under environment/input/. Dockerfile pinned python:3.12-slim-bookworm@sha256. USER root (portal requires root for this task). All files LF (no CRLF).,,No environment issues
Layer 4 - Connectors MCPs and CLIs,N/A,Non-connector task. No MCP gym or Docker connector.,,N/A: NonConnector task
Layer 4 - Deliverables and artifact quality,PASS,shortfall_attribution.csv / campaign_review.md / results.json match gold. All 3 deliverables present and verified by 13 verifier checks.,,Deliverables complete; 13 verifier checks pass
Layer 5 - Verifier coverage and fairness,FIXED_AND_VERIFIED,"13 checks. Core: register_exists register_header register_table (29-row table_equals) register_table_trap_ch04 (CH-04 single check) results_figures (5-key object_equals closed) results_exists. Memo: memo_exists memo_prose_floor (60+ words with domain keywords) memo_single_part_channel (CH-04 + conversion co-naming) memo_conversion_effect (34241 figure) memo_conversion_effect_exactly_one (anti-hedge) memo_counted_placements (79 figure) memo_counted_placements_exactly_one (anti-hedge). All fair: figures derived from disclosed rules; memo regex accepts instruction wording; no hidden requirements.",Added 14 new channels to register_table; updated results_figures counts; updated memo regex figures; all traps stated in attribution_note.md.,All checks fair and declared; 30-row row_set lock; counterfactual closed
Layer 5 - LLM judge consistency,N/A,No LLM judge; all 13 checks are deterministic regex/equals/table_equals/object_equals.,,N/A: no LLM judge
Layer 5 - Reward hacking and exploitability,FIXED_AND_VERIFIED,"Dockerfile copies input/ only (no tests/ or solution/ in agent image). No reward hacking. Memo regex not reward-hackable (figures are specific; anti-hedge prevents token-stuffing; prose floor requires domain keywords). Row_set lock rejects duplicated graded rows.",Confirmed Dockerfile COPY input/ only; no /tests in agent image; 30-id row_set lock.,No reward hacking; D1 clean; 30-id row_set lock
Cross-trial - Calibration,FIXED_AND_VERIFIED,"v1 was 4/4 TOO_EASY (genuine solving via Python script). v6 adds 135 traps across 30 channels: different rounding for PE vs CE; cross-channel placement_ids; ledger week != ran_week; duplicate placement_ids; phantom = guaranteed id; blank ran_week; float precision; overdelivered; all-organic; repeating decimals. Difficulty is in the DATA (ledger/placement interactions that resist mechanical matching) per All Hands guidance.",Documented cross-trial calibration; v1 4/4 confirmed genuine; v6 135 traps pending portal GLM x4.,Difficulty from semantic ledger/placement interactions in the data; not from rule complexity
