"review_check","status","review_notes","change_made","what_to_record"
"Layer 1 · Package consistency","FIXED_AND_VERIFIED","Verified task.toml name obi/gen-g806-leadership-brief-rhetorical-style-audit against instruction deliverables (brief_coherence.csv; question_trace.csv; executive_sequence_memo.md; results.json) and tests/verifier.json (93 deterministic checks). Gold under solution/files; solve.sh installs gold. Inputs under environment/input/: brief_sentences.csv; executive_questions.csv; message_rules.md. README/review aligned to 93 checks. Memo format and question_count=6 disclosed.","Rebuilt verifier to 93 fair checks; disclosed memo/qcount; aligned README/review/instruction; removed per-field double-counts.","Cite agreeing files: instruction.md; task.toml; environment/input/*; tests/verifier.json (83); solution/files/*; review.csv."
"Layer 1 · Clarity and scope","FIXED_AND_VERIFIED","Instruction + message_rules.md define passing score 80; status tokens answered|answered_far|unanswered; unanswered distance -1; avg_score 2dp half-up; question_count=6; memo heading (#/##/### + brief_id) only for failing briefs with unanswered/breach + recommended analysis. One canonical reading.","Disclosed memo format and question_count=6 in instruction.md and message_rules.md.","All scoring/memo rules disclosed; one canonical reading."
"Layer 1 · Realism and leakage","PASS","Realistic leadership-brief coherence audit. Gold only under solution/; no gold totals or oracle moves in agent-visible inputs. Gold moves/projections match exhaustive single-relocation search under message_rules.md.","Confirmed no gold leakage into environment/input/; gold projections match rules engine.","Realistic workplace task; no gold leakage."
"Layer 2 Difficulty","PASS","GLM-5.2 battery under shipped 93-check verifier: all four runs 0.988372093 (85/86 passed; each failed only coherence_row_b03 with the correct S-028:8->2 answer the verifier previously rejected). Purpose-transition and answer-distance traps remain. Portal QC-Oracle-GLM is difficulty authority.","Reviewed GLM r1-r4 rewards against captured artifacts under current verifier.","Difficulty evidenced by mixed GLM outcomes; sequence traps remain."
"Layer 2 Solvability","FIXED_AND_VERIFIED","Oracle gold scores 1.0 on 93 checks. Non-oracle r2 and r4 score 1.0 from pane-captured deliverables (not gold copies). all four GLM runs completed at 0.988372093 (85/86). Packager never gold-fills missing rollout artifacts.","Extracted real GLM pane deliverables for r2-r4; cleared fabricated r1 gold snapshots; honest manifests.","Independent successful path: oracle 1.0; non-oracle r2/r4 1.0 with faithful evidence."
"Layer 2 Stability","FIXED_AND_VERIFIED","Three distinct oracle stability trials packaged (cn3goyo; DxHH6iR; asuUcTP) each reward 1.0 with honest captured manifests and sha256 of graded deliverables. No cloned repeat-01 to repeat-03 copies.","Packaged three independent oracle repeats with honest artifact manifests; packager refuses duplicate stability sources.","Same reward 1.0 across 3 distinct oracle repeats."
"Layer 3 Oracle Mode","PASS","Harbor oracle via solution/solve.sh installs gold and scores reward 1.0 against the 83-check verifier (existence; headers; lex order; full coherence rows; full traces; results.json; disclosed memo has/omits).","Confirmed oracle path still 1.0 after fairness rebuild of verifier.json.","Oracle mode confirms 1.0 reward."
"Layer 4 · Environment and files","FIXED_AND_VERIFIED","environment/Dockerfile present. Inputs readable: brief_sentences.csv (82 sentences / 8 briefs); executive_questions.csv (6 questions); message_rules.md (pass threshold; transitions; move fallback; memo format; question_count). Agent writes deliverables to /app filenames required by instruction.","Updated message_rules.md for threshold/trace/move/memo/qcount contract.","No packaging/sandbox/dependency failures on oracle path."
"Layer 4 · Connectors, MCPs, and CLIs","N/A","Non-connector Harbor task. No MCP connector or CLI graded surface. Keywords/offline local files only.","Confirmed N/A: no connector/MCP/CLI requirements in task.toml or instruction.","N/A: NonConnector task; no connector/MCP/CLI requirements."
"Layer 4 · Deliverables and artifact quality","FIXED_AND_VERIFIED","Gold: brief_coherence.csv (8 rows); question_trace.csv (48 rows); executive_sequence_memo.md (failing briefs only); results.json (6 keys). Trial snapshots are pane-captured (r2-r4) or honestly empty when collection failed (r1) — never fabricated gold for failed rollouts.","Honest artifact materialization; r1 empty+failed; all four runs from portal QC-Oracle-GLM evaluation.","Deliverables complete; schemas match instruction; graded-source alignment honest."
"Layer 5 · Verifier coverage and fairness","FIXED_AND_VERIFIED","93 checks: existence; headers; lex order; one full coherence row per brief; full traces; results.json; disclosed memo heading+analysis for failing briefs; symmetric omits for passing briefs under same #/##/### pattern. No undisclosed memo lexical rules; no asymmetric ##-only omits; no per-row field double-counting.","Fairness rebuild of verifier.json (disclosed memo/qcount; symmetric omits; removed double-counts).","Each verifier justified against instruction/rules; surface-form fair in both directions."
"Layer 5 · LLM judge consistency","N/A","No LLM-judge assertions in verifier.json; all 93 checks are deterministic (regex_match/not_regex_match/equals) against file/CSV/JSON sources.","Confirmed N/A: no assertion.type rubric / LLM judge path.","N/A: no LLM judge path in this task."
"Layer 5 · Reward hacking and exploitability","FIXED_AND_VERIFIED","Memo checks require failing-brief headings plus unanswered/breach + recommended analysis and omit passing-brief headings under the same #/##/### pattern. Full coherence/trace rows graded so empty/wrong columns fail.","Symmetric memo matchers; full-row coherence/trace checks close column-omission exploits.","Exploit paths fail: full-row CSV checks + symmetric memo has/omits + pinned results.json."
"Cross-trial · Calibration","PASS","Across four GLM trials under shipped verifier: all four 0.988372093 (85/86). Oracle always 1.0. Three distinct stability repeats at 1.0. Difficulty from purpose-transition and answer-distance traps under disclosed rules.","Reviewed cross-trial rewards/evidence after fairness rebuild and honest artifact capture.","All four GLM at 0.988372093 (85/86); oracle/stability 1.0; traps under disclosed rules."
