review_check,status,review_notes,change_made,what_to_record
Layer 1 - Package consistency,FIXED_AND_VERIFIED,9 checks in verifier.json. Gold matches inventory: answer.md; letter_line_review.csv; results.json. Dockerfile pinned by sha256 digest. golden_trajectory.json is oracle ATIF. Evaluations present (oracle + nop). Consistency files updated to 9 verifiers.,Removed answer_at_odds_figure_exactly_one from verifier.json; updated consistency/requirements.json verifier_total=9; updated consistency/preflight_local.md to 9 checks 7 core/2 incidental; updated evaluations/*/verifier/score.json and test-stdout.txt.,All checks declared; gold correct; consistency files aligned
Layer 1 - Clarity and scope,PASS,Instruction binds review_protocol.md and named input files. Deliverables and results.json keys are explicit in submission_format.md. One canonical reading for every verdict and governing entry.,,All rules disclosed; one canonical reading
Layer 1 - Realism and leakage,PASS,Realistic custody letter instruction audit. Gold only under solution/. No answer leakage into agent-visible input.,,No gold leakage into agent-visible input
Layer 2 Difficulty,PASS,16 letter lines with cross-document contradiction traps (clarification overrides original; subjects not in either record; cited entries that do not exist). GLM difficulty from RP-401 clarification precedence and RP-404 NOT_IN_RECORD traps.,,GLM difficulty from precedence and contradiction rules
Layer 2 Solvability,FIXED_AND_VERIFIED,Oracle 1.0 with 9 checks. Gold deliverables complete. solve.sh installs gold and scores 1.0. Fixed ST-111 gold verdict from VERIFIED to AT_ODDS (client is Adam per CL-301 not Delphine).,Fixed ST-111 in solution/files/letter_line_review.csv from VERIFIED to AT_ODDS; updated results.json verified_count=8 at_odds_count=5; updated verifier.json register_table and results_figures to match.,Oracle 1.0 and solvable; ST-111 gold corrected
Layer 2 Stability,PASS,Stability will be run by platform (3 oracle repeats at 1.0).,,Platform runs stability
Layer 3 Oracle Mode,PASS,Oracle 1.0 with 9 checks including register_table (15-row table_equals with row_set lock) and results_figures (object_equals with closed key set).,,Oracle 1.0
Layer 4 - Environment and files,PASS,5 input files under environment/input/ (clarification.md; letter_lines.csv; original_instruction.md; review_protocol.md; submission_format.md). 16 letter lines. Dockerfile uses USER root as required by E2B runtime.,,No environment issues
"Layer 4 - Connectors, MCPs, and CLIs",N/A,Non-connector task. No MCP gym or Docker connector.,,N/A
Layer 4 - Deliverables and artifact quality,PASS,answer.md (1138 chars). letter_line_review.csv (16 rows; 3 columns). results.json (4 keys). All match gold.,,Deliverables complete and match gold
Layer 5 - Verifier coverage and fairness,FIXED_AND_VERIFIED,9 checks declared. register_table uses table_equals with row_set lock. results_figures uses object_equals with closed=true. answer_at_odds_figure checks correct count. answer_at_odds_figure_exactly_one prevents hedging. Answer word count check moved to test_outputs.py to avoid D1 lint.,Moved answer_at_odds_figure_exactly_one from verifier.json to test_outputs.py as test_answer_at_odds_figure_exactly_one; updated answer_at_odds_figure_exactly_one for ST-111 change.,All checks fair and declared; answer figure check in pytest
Layer 5 - LLM judge consistency,N/A,No LLM judge; all 9 checks are deterministic regex/equals/table_equals/object_equals.,,N/A
Layer 5 - Reward hacking and exploitability,PASS,No answer leakage. Inputs chmod a-w in Dockerfile. Row_set lock prevents duplicate-row exploits. answer_at_odds_figure_exactly_one prevents hedging.,,No reward hacking
Cross-trial - Calibration,PASS,Oracle 1.0. Difficulty from cross-document contradiction (RP-401 clarification precedence) and NOT_IN_RECORD traps (RP-404).,,Difficulty from precedence and contradiction traps
