review_check,status,review_notes,change_made,what_to_record
Layer 1 - Package consistency,FIXED_AND_VERIFIED,P0 packaging: CRLF→LF; tests/verifier.json present (34). README counts corrected from stale 166 to 50 test_* / 170 collected / 34 verifier.json.,LF normalize + verifier packaging + count rewrite,Package has LF + verifier.json; pytest 170/170 on gold.
Layer 1 - Clarity and scope,PASS,Instruction discloses graded memo/CSV evidence rules including local-window memo evidence.,Verified instruction.md,Scope disclosed.
Layer 1 - Realism and leakage,PASS,Realistic DB maintenance audit. Gold only under solution/. No gold under environment/input/.,Verified no gold leakage.,Realistic; no leakage.
Layer 2 Difficulty,N/A,Prior GLM×4 STALE (prompt drift + check-grid mismatch). evaluations/ ships STALE stub only. Must re-run GLM×4 on portal/Harbor.,Stripped stale difficulty trials from zip,Do not upload until difficulty re-run.
Layer 2 Solvability,N/A,Prior solvability 1.0 STALE (trajectory prompt drift; write-evidence concerns). Must re-run.,Stripped stale solvability from zip,Do not treat prior solvability as valid.
Layer 2 Stability,PASS,Fresh Harbor oracle×3 (stability-c227-rerun) all reward 1.0 on current tree; bundled under evaluations/stability/repeat-01..03.,Packed stability repeats,Stability 1.0×3 present.
Layer 3 Oracle Mode,PASS,Fresh Harbor oracle (oracle-c227-rerun2) reward 1.0 on current LF/verifier tree; bundled under evaluations/oracle.,Packed harbor oracle trial,Oracle 1.0 present.
Layer 4 - Environment and files,PASS,Inputs present; Dockerfile pin; deliverables to workspace root; verifier.json packaged; LF verified in zip.,Verified inputs/Dockerfile/tests/zip,No packaging failures for required files.
"Layer 4 - Connectors, MCPs, and CLIs",N/A,Non-connector Harbor task.,N/A.,N/A: NonConnector.
Layer 4 - Deliverables and artifact quality,PASS,Gold CSV/JSON/memo schemas present under solution/files (includes densify T-45 prose).,Verified gold deliverables.,Deliverables complete.
Layer 5 - Verifier coverage and fairness,FIXED_AND_VERIFIED,verifier.json shipped (34); pytest suite 50 funcs / 170 nodes. Historical near-pass eras: obsolete T-52 and densify T-45 memo gate — not packaging defects.,Documented near-pass eras,Fairness TBD after fresh GLM×4.
Layer 5 - LLM judge consistency,N/A,No LLM judge; deterministic pytest/verifier only.,N/A.,N/A.
Layer 5 - Reward hacking and exploitability,PASS,test.sh isolation retained (pytest from /tmp).,Retained test.sh anti-shadow.,Exploit paths blocked at harness level.
Cross-trial - Calibration,N/A,All prior trial evidence discarded from package pending full re-run (oracle + GLM×4 + solvability + stability).,Honest STALE stub in evaluations/,Upload blocked until evidence refreshed.
