sentence_id,brief_id,position,purpose,word_count,question_ids
S-001,B-01,1,decision,25,"Q-01,Q-02"
S-002,B-01,2,evidence,22,Q-03
S-003,B-01,3,context,20,
S-004,B-01,4,evidence,18,Q-04
S-005,B-01,5,context,24,Q-05
S-006,B-01,6,evidence,26,Q-06
S-007,B-01,7,context,20,
S-008,B-01,8,context,22,
S-009,B-01,9,context,19,
S-010,B-01,10,context,21,
S-011,B-02,1,evidence,25,Q-01
S-012,B-02,2,context,22,Q-02
S-013,B-02,3,decision,20,
S-014,B-02,4,evidence,18,Q-03
S-015,B-02,5,context,24,Q-04
S-016,B-02,6,evidence,26,Q-05
S-017,B-02,7,context,20,
S-018,B-02,8,context,22,
S-019,B-02,9,context,19,
S-020,B-02,10,context,21,
S-021,B-03,1,decision,25,Q-01
S-022,B-03,2,evidence,22,Q-02
S-023,B-03,3,context,20,Q-03
S-024,B-03,4,evidence,18,
S-025,B-03,5,context,24,
S-026,B-03,6,evidence,26,
S-027,B-03,7,context,20,
S-028,B-03,8,context,22,Q-04
S-029,B-03,9,context,19,Q-05
S-030,B-03,10,context,21,Q-06
S-031,B-04,1,decision,25,Q-01
S-032,B-04,2,evidence,22,Q-02
S-033,B-04,3,decision,20,Q-03
S-034,B-04,4,context,18,Q-04
S-035,B-04,5,evidence,24,Q-05
S-036,B-04,6,context,26,Q-06
S-037,B-04,7,context,20,
S-038,B-04,8,context,22,
S-039,B-04,9,context,19,
S-040,B-04,10,context,21,
S-041,B-05,1,decision,25,"Q-01,Q-02"
S-042,B-05,2,evidence,22,Q-03
S-043,B-05,3,evidence,20,Q-04
S-044,B-05,4,context,18,Q-05
S-045,B-05,5,evidence,24,Q-06
S-046,B-05,6,context,26,
S-047,B-05,7,context,20,
S-048,B-05,8,context,22,
S-049,B-05,9,context,19,
S-050,B-05,10,context,21,
S-051,B-06,1,decision,26,Q-01
S-052,B-06,2,evidence,26,Q-02
S-053,B-06,3,context,26,Q-03
S-054,B-06,4,evidence,26,Q-04
S-055,B-06,5,context,26,Q-05
S-056,B-06,6,evidence,26,Q-06
S-057,B-06,7,context,26,
S-058,B-06,8,context,26,
S-059,B-06,9,context,26,
S-060,B-06,10,context,26,
S-061,B-06,11,context,26,
S-062,B-06,12,context,26,
S-063,B-07,1,decision,25,"Q-01,Q-02"
S-064,B-07,2,evidence,22,"Q-03,Q-04"
S-065,B-07,3,context,20,"Q-05,Q-06"
S-066,B-07,4,evidence,18,
S-067,B-07,5,context,24,
S-068,B-07,6,evidence,26,
S-069,B-07,7,context,20,
S-070,B-07,8,context,22,
S-071,B-07,9,context,19,
S-072,B-07,10,context,21,
S-073,B-08,1,context,25,Q-01
S-074,B-08,2,evidence,22,Q-02
S-075,B-08,3,evidence,20,Q-03
S-076,B-08,4,context,18,Q-04
S-077,B-08,5,decision,24,
S-078,B-08,6,evidence,26,Q-06
S-079,B-08,7,context,20,
S-080,B-08,8,context,22,
S-081,B-08,9,context,19,
S-082,B-08,10,context,21,
