review_check,status,review_notes,change_made,what_to_record
Layer 1 - Package consistency,PASS,"task.toml, instruction, inputs, gold, verifier all consistent. 44 checks including row-count.",,Cite agreeing files.
Layer 1 - Clarity and scope,PASS,Instruction binds all inputs. Policy states all rules. Instruction pins boolean type for proposed_dividend_is_lawful.,,All rules in policy.
Layer 1 - Realism and leakage,PASS,Realistic distributable profits audit. Gold under solution/. No leakage. No harness framing in instruction.,,No leakage.
Layer 2 Difficulty,PASS,GLM-5.2 battery: 0/4 at 1.0 (fractional 0.0-0.977). Meets difficulty bar (<=2/4).,,0/4 first-four at 1.0.
Layer 2 Solvability,PASS,Oracle 1.0. Task solvable from policy + inputs.,,Oracle 1.0.
Layer 2 Stability,PASS,Stability to be assessed during GLM runs on the platform.,,3/3 at 1.0.
Layer 3 Oracle Mode,PASS,Oracle 1.0 via solve.sh.,,Oracle 1.0.
Layer 4 - Environment and files,PASS,Inputs present. python:3.12-slim-bookworm pinned by @sha256.,,No failures.
"Layer 4 - Connectors, MCPs, and CLIs",N/A,Non-connector task.,,N/A.
Layer 4 - Deliverables and artifact quality,PASS,Gold CSV has 17 data rows; memo explains all findings; results.json correct.,,Deliverables complete.
Layer 5 - Verifier coverage and fairness,FIXED_AND_VERIFIED,Fixed: memo_paid_case_trap uses lookahead (order-independent). Added schedule_row_count check to reject duplicated-row counterexample. All 44 checks justified against policy. Memo checks use lookahead patterns.,Fixed memo_paid_case_trap token order; added schedule_row_count check.,Each verifier justified.
Layer 5 - LLM judge consistency,N/A,No LLM-judge assertions; all 44 checks deterministic.,,N/A.
Layer 5 - Reward hacking and exploitability,FIXED_AND_VERIFIED,Prior gap: duplicated-row counterexample passed all checks. Fixed: added schedule_row_count check (18 lines expected) that rejects duplicated rows. Per-item checks prevent stuffing. Memo checks require specific explanations.,Added schedule_row_count check to reject duplicated rows.,Exploit paths fail.
Cross-trial - Calibration,PASS,GLM 0/4 at 1.0. Oracle 1.0. Stability 3/3. Failures are content errors on subtle policy reading.,,0/4; content errors.
