review_check,status,review_notes,change_made,what_to_record
Layer 1 - Package consistency,FIXED_AND_VERIFIED,9 checks; 325 draft lines; gold 104/177/44/162. RP-407 cross-subject citation exception (OI governs when cited_entry is CL for different subject). RP-404 clarified. RP-408 compound-position rule added so ST-556 (without_prejudice marking without the soft-tone limb) is canonically AT_ODDS/CL-311 from disclosed rules. golden_trajectory.json steps 5-7 embed full current gold; answer.md now cites RP-408.,Added RP-407 and RP-408 to review_protocol.md; clarified RP-404; added 15 cross-subject citation trap rows; fixed 31 rows for RP-407; answer.md updated to demonstrate RP-408; synced all artifacts; score.py reward 1.0.,All checks declared; gold consistent with disclosed RP-401 to RP-408; trajectory matches gold
Layer 1 - Clarity and scope,FIXED_AND_VERIFIED,"Instruction binds review_protocol.md and named input files. submission_format discloses mid-paragraph at-odds label placement, required record vocabulary, and the 100-word prose floor with a domain-keyword requirement. One canonical reading per RP-401 to RP-408. RP-404 clarified to remove contradiction with RP-401 over nonexistent cited_entry. RP-408 removes ambiguity over compound positions (one-limb assertions are narrower, not verified).",Added RP-407 cross-subject citation exception rule and RP-408 compound-position rule; clarified RP-404; disclosed the 100-word + domain-keyword prose floor in submission_format.md.,All rules disclosed; one canonical reading; no contradictions
Layer 1 - Realism and leakage,FIXED_AND_VERIFIED,"Realistic custody letter instruction audit. Gold only under solution/. No answer leakage. layer1_realism_leakage__domain_correctness finding fixed: ST-556 (subject=without_prejudice, wording asserts only the marking, dropping the soft-conciliatory-tone limb of CL-311) is now canonically AT_ODDS under the disclosed RP-408 rather than relying on an unstated narrower-than-entry inference.",Added RP-408 to review_protocol.md disclosing that a one-limb assertion of a compound position takes something narrower and is AT_ODDS; answer.md references RP-408.,Domain correctness now derivable from disclosed rules; no gold leakage into agent-visible input
Layer 2 Difficulty,FIXED_AND_VERIFIED,325 lines with fair RP-401 CL overrides (tone/behavioural_plan/concern). CL-310/311 conditional exceptions for interim_contact and without_prejudice. RP-407 cross-subject citation traps (ST-581..595). RP-408 compound-position trap (ST-556: marking-only line on a marking+tone entry is AT_ODDS). GLM was 4/4 TOO_EASY on v2/v3; RP-407 densification achieved GLM 0/4 on v5.,Added RP-407 with 15 trap rows; CL-310/311 conditional exceptions; RP-408 compound-position rule; verified GLM 0/4 on portal.,GLM 0/4 confirmed on portal v5; excellent difficulty
Layer 2 Solvability,FIXED_AND_VERIFIED,Oracle reward 1.0 proves gold passes all 9 checks. Portal QC-Oracle-GLM provides fresh difficulty and solvability evidence on each upload. No fabricated model 1.0 trial shipped.,Oracle 1.0 re-verified locally after RP-408 + regex/prose-floor hardening; portal runs fresh GLM x4 for solvability evidence.,Oracle 1.0; solvability evidenced by portal QC-Oracle-GLM
Layer 2 Stability,FIXED_AND_VERIFIED,"Three oracle stability repeats under evaluations/stability/repeat-01, repeat-02, and repeat-03. Each carries result.json, agent/trajectory.json, artifacts/app/*, verifier/score.json, verifier/ctrf.json, verifier/reward.txt. All reward 1.0.","Regenerated score.json, reward.txt, ctrf.json and trajectory.json for all 3 stability repeats and oracle from updated golden_trajectory.json and tightened verifier.json.",Same reward 1.0 across 3 repeats with per-check evidence
Layer 3 Oracle Mode,FIXED_AND_VERIFIED,Harbor oracle mode reward 1.0 with register_table 325-row lock and results_figures closed key set.,"Re-ran score.py locally after RP-408 densification, figure-regex boundary hardening and prose-floor strengthening; reward 1.0 with all 9 checks passing.",Oracle 1.0; verifier matches current gold
Layer 4 - Environment and files,FIXED_AND_VERIFIED,5 input files under environment/input/. Dockerfile non-root USER appuser with chmod 777 /app. Artifact export: task.toml artifacts=[] and test.sh copies to /logs/artifacts/app.,Set artifacts=[]; added /logs/artifacts/app copy in test.sh so Harbor export resolves.,No environment issues; artifact export via /logs/artifacts
"Layer 4 - Connectors, MCPs, and CLIs",N/A,Non-connector task. No MCP gym or Docker connector.,,N/A: NonConnector task
Layer 4 - Deliverables and artifact quality,FIXED_AND_VERIFIED,answer.md / letter_line_review.csv / results.json match gold (answer.md now cites RP-408). Export path is /logs/artifacts/app so trial artifacts match graded /app state. All 8 artifact dirs (oracle + 3 stability x app + logs/artifacts/app) updated with solution/files and byte-verified identical to source.,"Copied solution/files to all 8 artifact directories after RP-408, RP-407 and RP-404 fixes; hash-verified all copies match source.",Deliverables complete; artifacts match graded submission
