review_check,status,review_notes,change_made,what_to_record
Layer 1 · Package consistency,FIXED_AND_VERIFIED,Compared task.toml with instruction deliverables results_audit.csv; results_memo.md; results.json and tests/verifier.json (163 checks). Inputs under environment/input/: critical_results_procedure.md; critical_results.csv; escalations.csv; site_core_hours.md; approved_roles_roster.md; bank_holidays.csv; procedure_amendment_2026-07-01.md. Gold under solution/files. golden_results.json matches solution/files/results.json (notification_breaches=35; acknowledgement_breaches=61; unapproved_acknowledgement_results=25; missing_escalation_results=43; results_compliant=60). golden_trajectory.json is oracle-style ATIF (agent.name=oracle; not derived from any GLM run). No tests/manifest.json (non-connector). evaluations/ present for oracle + glm-5.2 + stability.,v20: added procedure amendment input; README lists seven inputs; golden_trajectory embeds current seven-attachment instruction; review mirrors 163 checks and golden counts 35/61/25/43/60.,Cite agreeing files: instruction.md; task.toml; environment/input/*; tests/verifier.json; solution/files/*. golden_results.json matches results.json. golden_trajectory.json is oracle ATIF.
Layer 1 · Clarity and scope,FIXED_AND_VERIFIED,"Instruction binds procedure + site_core_hours + roster + bank_holidays + procedure amendment + CSVs. results.json values are integer counts. Findings vocabulary specified. Memo must cover late notifications, late/absent acks, missing escalations, and long elapsed times that are not breaches (IDs optional for non-breach prose).",v20 kept instruction Harbor-fair; no trap spoilers.,Instruction specifies findings vocabulary and integer count keys.
Layer 1 · Realism and leakage,PASS,Realistic NHS-style critical results acknowledgement audit with dated procedure amendment. Gold only under solution/; Dockerfile COPY input/ only.,,Realistic domain audit; no gold leakage into agent-visible input.
Layer 2 Difficulty,FIXED_AND_VERIFIED,v20 amendment harden: procedure_amendment_2026-07-01.md supersedes RIVERSIDE hours for releases on/after 2026-07-15. Structural traps R-123..R-134 graded on audit CSV / results.json (not memo ID lists). Register has 134 graded rows; verifier.json has 163 checks. Golden counts 35/61/25/43/60.,"Added amendment supersession + R-123..R-134 audit/results traps (boundary twins, site close around amendment, closed-day+09:00 open, Cons/ANP wrong-case, recorded vs missing unapproved).",Verifier 163 checks; golden 35/61/25/43/60.
Layer 2 Solvability,FIXED_AND_VERIFIED,Oracle path via solution/solve.sh remains 1.0 against current verifier. Rules are fully stated across procedure + supporting docs + amendment.,Gold regenerated for amendment + R-123..R-134; pytest must pass.,Independent path: oracle 1.0 against current gold.
Layer 2 Stability,PASS,Stability repeats retain oracle gold reward 1.0 path.,,Same reward 1.0 across oracle verifier repeats.
Layer 3 Oracle Mode,PASS,harbor oracle via solution/solve.sh produces reward 1.0 against the current 163-check verifier + pytest.,,Oracle mode agent verifier results confirm 1.0 rewards.
Layer 4 · Environment and files,PASS,Inputs present: procedure; site_core_hours; roster; bank_holidays; procedure_amendment_2026-07-01.md; critical_results.csv (134 graded); escalations.csv. Public python:3.12-slim base.,,No packaging/sandbox/dependency failures on oracle path.
"Layer 4 · Connectors, MCPs, and CLIs",N/A,Non-connector Harbor task.,,N/A: NonConnector task.
Layer 4 · Deliverables and artifact quality,FIXED_AND_VERIFIED,Gold results_audit.csv has 134 data rows; memo covers breach themes and plain-language non-breaches including amendment supersession; results.json matches gold counts (35/61/25/43/60).,Updated gold for amendment + R-123..R-134 structural traps.,Deliverables complete; schemas match instruction.
Layer 5 · Verifier coverage and fairness,FIXED_AND_VERIFIED,"Instruction states naming a particular result ID is optional for non-breach explanations; memo_explains_* / memo_addresses_the_clock_start / memo_lists_r106_or_r110_holiday accept plain-language concepts (inclusive limits, core-hours clock start, closed days, amendment supersession, pre-clock notify, evening clock) without closed ID sets. Alias role matchers accept SpR|specialty_registrar, ANP|advanced_nurse_practitioner, Cons|consultant. 163 deterministic checks; pytest cross-checks register coverage.",Kept concept-based memo checks (no closed ID sets); added R-123..R-134 audit/results traps; updated R-106/R-117/R-119 for amendment regrade.,Instruction-compliant paraphrases pass; difficulty on audit CSV correctness.
Layer 5 · LLM judge consistency,N/A,No LLM-judge assertions; all 163 checks deterministic.,,N/A: no LLM judge path.
Layer 5 · Reward hacking and exploitability,FIXED_AND_VERIFIED,Verifier requires full register coverage R-01..R-134; pytest asserts audit ID set equals register; results.json must match audit-derived counts; amendment traps need exact clock/minute findings.,Coverage + R-123..R-134 row checks; concept memo checks retained.,Incomplete audits / hardcoded totals without matching audit fail.
Cross-trial · Calibration,FIXED_AND_VERIFIED,"v19 became TOO_EASY after Harbor fairness softens. v20 adds amendment supersession + multi-doc traps graded on audit/results so difficulty rests on CSV correctness, not memo ID lists.",Amendment harden + R-123..R-134 densify; zip rebuilt.,Oracle 1.0 path; 163 checks; counts 35/61/25/43/60.
