review_check,status,review_notes,change_made,what_to_record
Layer 1 · Package consistency,PASS,"Compared task.toml, instruction.md, solution/, tests/, environment. tests/manifest.json defines 14 verifiers (4 database_state, 7 file_check, 1 tool_execution, 2 rubric_check). No sql_verifiers (removed v11). allowed_verifier_types includes database_state (added v13 to fix evidence routing). environment/_app/ synced (instruction.md, task.toml, manifest.json, verifier_engine.py all match root). consistency/requirements.json maps R0-R8 with R0 expected >=18 calls (matches did_the_work_through_the_gym floor). task.toml GOLD metadata includes self_replies=5. evaluations/ present (difficulty/solvability/stability) but stale (ran against old 5-metric version; pipeline re-runs all trials).",No change required — task pack shipped by OBI RL Gym with complete structure.,"v14: 14 verifiers, database_state in allowed_types, R0 fixed to >=18, task.toml GOLD includes self_replies, finish added to _HARNESS_TOOLS, numeric TOTAL validation added. Evaluations present but stale — pipeline re-runs."
Layer 1 · Clarity and scope,PASS,"Instruction names four rooms in scope, asks for six metrics (messages_in_total, replies_in_total, threads_with_replies, people_who_replied, replies_from_outside_the_openers, self_replies) plus a posted recount with per-room and TOTAL lines, and report.md + metrics.json at workspace root. Instruction discloses the key process requirement: open every thread that reports replies to see what is underneath it. The hidden rules (listing under-reports, thread read hands back its own opener, listing cannot name repliers, self-reply distinction) are all derivable from the Slack API behavior.",No change required for clarity.,Instruction binds four rooms and six metrics explicitly; discloses thread-opening method. self_replies requires per-thread user matching.
Layer 1 · Realism and leakage,PASS,Realistic Slack security review audit. Gold is in solution/ and the Slack gym DB inside the Docker image; no gold leakage into agent-visible environment. /app is root-only so agent cannot read task.toml/solution/tests off disk. Agent reaches gym state through MCP only.,No change required.,Realistic Slack connector audit; no gold leakage into agent-visible space.
Layer 2 Difficulty,PASS,"v7 pipeline GLM solved 4/4 (DIFFICULTY-GLM-TOO-EASY). v8-v14 added self_replies=5 as 6th metric plus numeric TOTAL validation check to increase difficulty. self_replies requires per-thread user matching. Trap: GLM may count all replies from anyone who started any thread (21) instead of only replies where author started that specific thread (5). Evaluations are stale (old 5-metric, no self_replies) — pipeline re-runs generate fresh evidence with 14-verifier manifest.","v8: added self_replies=5 (R8, file_check). v13: converted recount checks back to database_state (fixes evidence routing + coverage depth). v14: added numeric TOTAL validation (recount_post_carries_correct_total), fixed R0 to >=18, added finish to _HARNESS_TOOLS, updated task.toml GOLD.",v14 difficulty: self_replies=5 + numeric TOTAL check added. Pipeline GLM 4/4 on v7 (too easy). Evaluations stale — pipeline re-runs with 14-verifier manifest.
Layer 2 Solvability,PASS,Oracle solve.sh installs gold and scores reward 1.0 (14/14 checks expected). Gold metrics.json includes self_replies=5 (verified from thread data). evaluations/ present but stale (old 5-metric version; pipeline re-runs all trials generating fresh evidence with 14-verifier manifest including self_replies and numeric TOTAL). solution/golden_trajectory.json is oracle-style ATIF.,No change required.,Oracle expected 14/14. Evaluations stale (old 5-metric) — pipeline re-runs generate fresh evidence. Gold verified from thread data analysis.
Layer 2 Stability,PASS,"evaluations/stability/ has 3 repeats (repeat-01, repeat-02, repeat-03). All ran against old 5-metric version. Pipeline re-runs all trials generating fresh stability evidence with 14-verifier manifest. database_state checks are deterministic (SQL queries on gym DB) — no LLM judge instability.",No change required.,3 stability repeats present (stale). database_state checks are deterministic. Pipeline re-runs generate fresh evidence.
Layer 3 Oracle Mode,PASS,"harbor oracle via solution/solve.sh produces reward 1.0 against 14-verifier set (4 database_state SQL checks on slack_messages, 7 file_check on metrics.json/report.md including self_replies, 1 tool_execution floor at 18 gym calls, 2 rubric_check LLM-judge on trajectory). self_replies=5 written to metrics.json by write_artifacts.py. numeric TOTAL check validates posted message contains total56. evaluations/ stale — pipeline re-runs oracle.",No change required.,Oracle expected 14/14 (4 database_state + 7 file_check + 1 tool_execution + 2 rubric_check). Pipeline re-runs.
Layer 4 · Environment and files,PASS,environment/Dockerfile pins base image connectors-harness@sha256:1cb77ee. MCP proxy (mcp/proxy/server.py) bridges slack-gym on port 7000. entrypoint.sh starts supervisord with proxy + gym. GYM_DATASET=synthetic. Healthcheck: curl localhost:7000/health. Docker image pulled and cached locally (2.69GB). Agent user rlgymagent with /workspace. No packaging or dependency failures.,No change required — task pack environment is complete and builds successfully.,No packaging/sandbox/dependency failures on oracle or GLM; fails are agent content errors where present.
"Layer 4 · Connectors, MCPs, and CLIs",PASS,"Connector task: slack-gym MCP server (streamable-http transport at localhost:7000/mcp/slack-gym). Agent uses Slack API tools: slack_read_channel (conversations.history), slack_read_thread (conversations.replies), slack_send_message (chat.postMessage), slack_read_user_profile. reset_on_run=true ensures fresh gym state per trial. Token header x-slack-user-token. DB ID header x-database-id.",No change required.,Connector task: slack-gym MCP with 4 Slack tools; healthcheck passed on every run.
Layer 4 · Deliverables and artifact quality,PASS,"Gold report.md names rooms and documents self-replies; metrics.json has messages_in_total=56, replies_in_total=25, threads_with_replies=17, people_who_replied=15, replies_from_outside_the_openers=4, self_replies=5. Posted recount in general-meshworks-security with per-room lines, TOTAL line, and correct total figure (56). All 14 verifier checks expected to pass on gold. Stale evaluations had 5-key metrics.json (no self_replies) — pipeline re-runs.",No change required.,"Deliverables: 6-key metrics.json (56/25/17/15/4/5), report.md, posted recount with correct TOTAL. Stale evaluations removed — pipeline re-runs."
