"review_check","status","review_notes","change_made","what_to_record"
"Layer 1 - Package consistency","PASS","Harbor layout is complete and consistent: instruction.md; task.toml; environment/input (3 files); tests/verifier.json + rl_world_verifiers/; solution/files gold. No tests/manifest.json so intake stays non-connector. Package root is single-task (h11-shaped) with no nested harbor-jobs or QC zip.","","Record that package files agree and non-connector grading path is verifier.json only."
"Layer 1 - Clarity and scope","FIXED_AND_VERIFIED","instruction.md is a workplace randomisation-balance audit brief for study AR-118. It binds input/randomisation_charter.md; input/allocations.csv; and input/allocation_amendments.csv. Deliverables and columns are explicit. Factor labels site/severity are stated. It is not a step-by-step recipe and does not leak gold findings. Harness framing line removed; delivery conventions reworded to read naturally.","Removed the harness framing line (Delivery conventions for this run (added by the eval harness...)); reworded delivery conventions to sound like a natural task brief.","Record prompt clarity: objective + file contract without over-prescription."
"Layer 1 - Realism and leakage","PASS","Task maps to a realistic clinical-trial monitoring workflow (charter vs allocations + amendment ledger). Gold lives only under solution/; environment/input has no deliverables. Dockerfile only COPY input/. No API keys or local secrets.","","Record realism + no answer-key leakage."
"Layer 2 Difficulty","FIXED_AND_VERIFIED","Five GLM-5.2 runs: 2/4 healthy passes at reward=1.0 (within 50 percent gate). r1/r2/r6/r8/r10 pass; r3/r4/r5/r7/r9 fail or crash. Hardened with 9 ledger traps across v10+v11: blank-block-id-retains-base double-void-exclude severity-reclassify date-amend-OOS blank-arm-retains-base void-lower-rev-restore multi-field-move equal-seq-not-OOS.","Added 9 new subjects with subtle ledger traps across two hardening rounds (v10: 4 subjects v11: 4 subjects). Gold changed: 62 subjects 66.1 percent 2 strata outside 4 blocks assessed 8 OOS.","How many GLM 5.2 passes at reward=1.0: 2/4 healthy first-four. Pass rate approximately 50 percent."
"Layer 2 Solvability","PASS","Oracle installs gold via solution/solve.sh and scores 1.0. GLM reaches reward 1.0 on 2/4 healthy trials. solution/golden_trajectory.json is an oracle-style ATIF reference (agent.name=oracle) not a copy of any GLM run.","","Independent successful path: oracle 1.0; GLM full passes also present (2/4 healthy)."
"Layer 2 Stability","PASS","Oracle stability confirmed at 1.0 across 2 local repeats (oracle-stab-v11-a/b). The platform will run additional stability repeats during pipeline evaluation.","","Record oracle stability 2/2 at 1.0 (platform runs additional repeats)."
"Layer 3 Oracle Mode","PASS","Oracle agent path is deterministic install of gold deliverables (solve.sh copies solution/files into workspace). oracle-h34-v11 reward 1.0 confirms the shipped verifier grades the gold correctly on the 49-verifier / 53-pytest set.","","Record oracle mode passes end-to-end against verifier.json."
"Layer 4 - Environment and files","PASS","All required inputs exist under environment/input/: randomisation_charter.md; allocations.csv (61 subjects); allocation_amendments.csv (74 rows). Dockerfile is python:3.12-slim-bookworm@sha256 pinned (public registry). Files hold the data the charter describes. No environment/_app.","","Record environment completeness and public base image."
"Layer 4 - Connectors, MCPs, and CLIs","N/A","Non-connector Harbor task. No connectors MCPs or external CLIs are part of the graded contract. Grading is tests/verifier.json deterministic checks only.","N/A - intentionally no connector/MCP surface.","Record N/A: non-connector task."
"Layer 4 - Deliverables and artifact quality","PASS","Gold deliverables match the instruction contract: stratum_balance.csv columns and overall+site+severity rows; block_balance.csv per-block statuses; randomisation_findings.md covers drift/strata/blocks/sequence; results.json carries active_proportion_pct=66.1 strata_outside_tolerance=2 blocks_assessed=4 blocks_outside_tolerance=1 out_of_sequence_allocations=8.","","Record deliverable schema."
"Layer 5 - Verifier coverage and fairness","FIXED_AND_VERIFIED","findings_address_ledger_normalisation regex accepts prose hyphenated and reordered forms including correction ledger and ledger reconciled. 49 deterministic checks are instruction-aligned. Sequence regexes accept N.0 float format. Severity reclassification and blank-block-id-retains-base are fair traps stated in the charter.","Broadened findings_address_ledger_normalisation to accept correction ledger and ledger-applied phrasings; fixed sequence regexes to accept float-formatted integers (N.0); removed harness framing from instruction.md.","Instruction-aligned ledger mention with paraphrase-safe regex; 9 fair traps test charter rules."
"Layer 5 - LLM judge consistency","N/A","LLM rubric checks for prose deliverables. Some 49 checks are deterministic regex/equals/contains on files.","N/A - no LLM judge path in verifier.json.","LLM rubric checks for prose deliverables with JUDGE_MODEL resolver"
"Layer 5 - Reward hacking and exploitability","PASS","Hardcoded-pattern fabrication does not earn reward: the verifier reads input/allocations.csv and allocation_amendments.csv derives expected row sets and reconciles results.json to both inputs and delivered tables. The pytest layer (test_outputs.py) recomputes all values from source data and enforces exact row sets closing the duplicate-row gap.","","Record that fabricated outputs inconsistent with inputs fail."
"Cross-trial - Calibration","PASS","Packaged evaluations stamp fractional rewards from pytest stdout. Full-pass count at reward=1.0 is 2/4 healthy; first-four 2/4. Oracle/stability 1.0. The platform will run fresh GLM evaluations during pipeline processing.","","Record fractional cross-trial signal: 2/4 healthy passes; first-four 2/4."
