brief_id,question_id,priority,answer_sentence_id,answer_distance,status
B-01,Q-01,high,S-001,0,answered
B-01,Q-02,high,S-001,0,answered
B-01,Q-03,medium,S-002,1,answered
B-01,Q-04,medium,S-004,3,answered
B-01,Q-05,low,S-005,4,answered
B-01,Q-06,low,S-006,5,answered
B-02,Q-01,high,S-011,0,answered
B-02,Q-02,high,S-012,1,answered
B-02,Q-03,medium,S-014,3,answered
B-02,Q-04,medium,S-015,4,answered
B-02,Q-05,low,S-016,5,answered
B-02,Q-06,low,,-1,unanswered
B-03,Q-01,high,S-021,0,answered
B-03,Q-02,high,S-022,1,answered
B-03,Q-03,medium,S-023,2,answered
B-03,Q-04,medium,S-028,7,answered_far
B-03,Q-05,low,S-029,8,answered_far
B-03,Q-06,low,S-030,9,answered_far
B-04,Q-01,high,S-031,0,answered
B-04,Q-02,high,S-032,1,answered
B-04,Q-03,medium,S-033,2,answered
B-04,Q-04,medium,S-034,3,answered
B-04,Q-05,low,S-035,4,answered
B-04,Q-06,low,S-036,5,answered
B-05,Q-01,high,S-041,0,answered
B-05,Q-02,high,S-041,0,answered
B-05,Q-03,medium,S-042,1,answered
B-05,Q-04,medium,S-043,2,answered
B-05,Q-05,low,S-044,3,answered
B-05,Q-06,low,S-045,4,answered
B-06,Q-01,high,S-051,0,answered
B-06,Q-02,high,S-052,1,answered
B-06,Q-03,medium,S-053,2,answered
B-06,Q-04,medium,S-054,3,answered
B-06,Q-05,low,S-055,4,answered
B-06,Q-06,low,S-056,5,answered
B-07,Q-01,high,S-063,0,answered
B-07,Q-02,high,S-063,0,answered
B-07,Q-03,medium,S-064,1,answered
B-07,Q-04,medium,S-064,1,answered
B-07,Q-05,low,S-065,2,answered
B-07,Q-06,low,S-065,2,answered
B-08,Q-01,high,S-073,0,answered
B-08,Q-02,high,S-074,1,answered
B-08,Q-03,medium,S-075,2,answered
B-08,Q-04,medium,S-076,3,answered
B-08,Q-05,low,,-1,unanswered
B-08,Q-06,low,S-078,5,answered
