"review_check","status","review_notes","change_made","what_to_record"
"Layer 1 - Package consistency","FIXED_AND_VERIFIED","Portal TOO_EASY 4/4 after Harbor-fair upload; needed real densify.","v13: half-up 2dp before inclusive tolerance; 220 recipes; instruction/standard/verifier aligned; memo >=1500.","Record: instruction, standard, gold, verifier agree on half-up + 220 unique recipes."
"Layer 1 - Clarity and scope","FIXED_AND_VERIFIED","Harbor previously flagged order-sensitive memo windows and undisclosed R-44.","Kept bidirectional ID/keyword windows; disclosed R-44, R-51/neg servings, R-104/$ stale, R-103/fractions, R-171/R-135 tolerance, half-up.","Record: representation contract disclosed in instruction.md."
"Layer 1 - Realism and leakage","PASS","Realistic meal-prep audit. Gold isolated under solution/files.","No answer leakage beyond fair instruction disclosures.","Record: realistic recipe cost-claim audit."
"Layer 2 - Difficulty","FIXED_AND_VERIFIED","Portal content-85cfa7...5192be-v1: Oracle PASS, GLM TOO_EASY 4/4, Harbor skipped.","Qualitative densify: half-up rounding + 70 new semantic traps (neg/fraction servings, $-stale, base-price bait, rounding boundaries, last-wins chains).","Record: local GLM target <=2/4 at 1.0; densify again if 4/4."
"Layer 2 - Solvability","FIXED_AND_VERIFIED","Oracle must stay 1.0 after densify.","Gold regenerated for 220 recipes; verifier count 252.","Record: re-run local oracle after package."
"Layer 2 - Stability","PASS","Prior stability 1.0; reconfirm after oracle on v13.","Gold install path unchanged (solve.sh copies solution/files).","Record: re-run 3 oracle stability repeats after densify."
"Layer 3 - Oracle Mode","PASS","Oracle reward must be 1.0 against verifier set.","Gold memo/audit/results recomputed from densify script.","Record: oracle via solution/solve.sh scores 1.0."
"Layer 4 - Environment and files","PASS","Inputs present. Dockerfile pin unchanged.","Batch/standard/register regenerated for v13.","Record: all inputs present under environment/input/."
"Layer 4 - Connectors, MCPs, and CLIs","N/A","Non-connector task.","No change required.","Record: N/A - non-connector Harbor task."
"Layer 4 - Deliverables and artifact quality","FIXED_AND_VERIFIED","Gold memo must match CSV findings and cite disclosed anchors.","Rewrote gold memo for half-up, R-44, negative servings, $-stale, tolerance examples.","Record: gold memo consistent with CSV findings."
"Layer 5 - Verifier coverage and fairness","FIXED_AND_VERIFIED","Harbor Layer5: order-sensitive windows previously failed fairness.","Bidirectional memo anchors retained; blank-chicken independent of generic stale; length 1500; per-recipe checks for all 220 IDs.","Record: memo checks instruction-aligned; not brittle on clause order."
"Layer 5 - LLM judge consistency","N/A","All checks deterministic.","No change required.","Record: N/A - no LLM judge path."
"Layer 5 - Reward hacking and exploitability","PASS","Per-recipe checks remain the core gradient.","220 per-recipe checks + memo/results gates.","Record: content-correct findings required per recipe."
"Cross-trial - Calibration","FIXED_AND_VERIFIED","Prior in-band 2/4 became portal 4/4 after Harbor-fair reupload.","v13 densify applied; calibrate on local GLM x4 before upload.","Record: upload only if Oracle 1.0 and GLM <=2/4 (3/4 OK)."
