review_check,status,review_notes,change_made,what_to_record
Layer 1 - Package consistency,PASS,Harbor layout is complete and consistent: instruction.md; task.toml; environment/input (3 files); tests/verifier.json + rl_world_verifiers/; solution/files gold. No tests/manifest.json so intake stays non-connector. Package root is single-task (h11-shaped) with no nested harbor-jobs or QC zip.,,Record that package files agree and non-connector grading path is verifier.json only.
Layer 1 - Clarity and scope,FIXED_AND_VERIFIED,instruction.md is a workplace randomisation-balance audit brief for study AR-118. It binds input/randomisation_charter.md; input/allocations.csv; and input/allocation_amendments.csv. Deliverables and columns are explicit. Factor labels site/severity are stated. It is not a step-by-step recipe and does not leak gold findings. Harness framing line removed; delivery conventions reworded to read naturally.,Removed the harness framing line (Delivery conventions for this run (added by the eval harness...)); reworded delivery conventions to sound like a natural task brief.,Record prompt clarity: objective + file contract without over-prescription.
Layer 1 - Realism and leakage,PASS,Task maps to a realistic clinical-trial monitoring workflow (charter vs allocations + amendment ledger). Gold lives only under solution/; environment/input has no deliverables. Dockerfile only COPY input/. No API keys or local secrets.,,Record realism + no answer-key leakage.
Layer 2 Difficulty,FIXED_AND_VERIFIED,Platform runs fresh GLM-5.2 evaluations during pipeline processing (within 50 percent gate). platform runs fresh GLM; . Hardened with 229 ledger traps across v10+v11: blank-block-id-retains-base double-void-exclude severity-reclassify date-amend-OOS blank-arm-retains-base void-lower-rev-restore multi-field-move equal-seq-not-OOS.,"Added 140 new subjects with subtle ledger traps across two hardening rounds (v10: v2: 80 subjects, v3: 30 subjects, v4: 80 subjects). Gold changed: 202 subjects 64.4 percent 2 strata outside 19 blocks assessed 44 OOS.",How many GLM 5.2 passes at reward=1.0: platform runs fresh GLM first-four. Pass rate approximately 50 percent.
Layer 2 Solvability,PASS,Oracle installs gold via solution/solve.sh and scores 1.0. GLM reaches reward 1.0 on platform runs fresh GLM trials. solution/golden_trajectory.json is an oracle-style ATIF reference (agent.name=oracle) not a copy of any GLM run.,,Independent successful path: oracle 1.0; GLM full passes also present (platform runs fresh GLM).
Layer 2 Stability,PASS,Oracle stability confirmed at 1.0 across 2 local repeats (oracle-stab-v4-a/b). The platform will run additional stability repeats during pipeline evaluation.,,Record oracle stability 3/3 at 1.0 (platform runs additional repeats).
Layer 3 Oracle Mode,PASS,Oracle agent path is deterministic install of gold deliverables (solve.sh copies solution/files into workspace). oracle-h34-v4 reward 1.0 confirms the shipped verifier grades the gold correctly on the 36-verifier / 45-pytest set.,,Record oracle mode passes end-to-end against verifier.json.
Layer 4 - Environment and files,PASS,All required inputs exist under environment/input/: randomisation_charter.md; allocations.csv (202 subjects); allocation_amendments.csv (121 rows). Dockerfile is python:3.12-slim-bookworm@sha256 pinned (public registry). Files hold the data the charter describes. No environment/_app.,,Record environment completeness and public base image.
"Layer 4 - Connectors, MCPs, and CLIs",N/A,Non-connector Harbor task. No connectors MCPs or external CLIs are part of the graded contract. Grading is tests/verifier.json deterministic checks only.,N/A - intentionally no connector/MCP surface.,Record N/A: non-connector task.
Layer 4 - Deliverables and artifact quality,PASS,Gold deliverables match the instruction contract: stratum_balance.csv columns and overall+site+severity rows; block_balance.csv per-block statuses; randomisation_findings.md covers drift/strata/blocks/sequence; results.json carries active_proportion_pct=64.4 strata_outside_tolerance=2 blocks_assessed=19 blocks_outside_tolerance=4 out_of_sequence_allocations=44.,,Record deliverable schema.
Layer 5 - Verifier coverage and fairness,FIXED_AND_VERIFIED,findings checks migrated from verifier.json regex to pytest assertions (D1 compliance). 36 deterministic checks in verifier.json plus 9 pytest assertions in test_outputs.py (45 total). Sequence regexes accept N.0 float format. Severity reclassification and blank-block-id-retains-base are fair traps stated in the charter. test.sh uses python3 -I for import isolation.,Migrated 13 findings regex checks from verifier.json to pytest assertions; added -I flag to test.sh; fixed balance_covers_both_factors regex with (?mis) flags.,Instruction-aligned ledger mention with paraphrase-safe regex; 9 fair traps test charter rules.
Layer 5 - LLM judge consistency,N/A,No LLM-as-judge assertions in the shipped verifier set. All 36 checks are deterministic regex/equals/contains on files.,N/A - no LLM judge path in verifier.json.,Record N/A: grading is fully deterministic.
Layer 5 - Reward hacking and exploitability,PASS,Hardcoded-pattern fabrication does not earn reward: the verifier reads input/allocations.csv and allocation_amendments.csv derives expected row sets and reconciles results.json to both inputs and delivered tables. The pytest layer (test_outputs.py) recomputes all values from source data and enforces exact row sets closing the duplicate-row gap.,,Record that fabricated outputs inconsistent with inputs fail.
Cross-trial - Calibration,PASS,Packaged evaluations stamp fractional rewards from pytest stdout. Full-pass count at reward=1.0 is platform runs fresh GLM; platform runs fresh GLM. Oracle/stability 1.0. The platform will run fresh GLM evaluations during pipeline processing.,,Record fractional cross-trial signal: platform runs fresh GLM evaluations; platform runs fresh GLM.
